unit,cycle,T24,T30,T50,P15,P2,fan_speed,oil_temp,fuel_flow,timestamp
3,1,526.3451964,639.007507,1584.26073,9.283202389,4.795257755,2356.91349,125.7478658,0.648967003,01-01-2025 00:00
3,2,519.9712668,637.9317001,1599.311034,9.511151905,5.142636814,2387.792671,130.6663893,0.64535101,01-01-2025 00:00
4,3,520.2297119,639.1797519,1596.913974,9.523994932,5.301908654,2386.454086,128.7756571,0.875969221,01-01-2025 00:00
4,4,526.7025505,645.8166823,1599.928522,9.800431644,5.205131761,2379.345178,129.4574422,0.782624166,01-01-2025 00:00
2,5,526.1798726,645.4464823,1577.458623,9.479179164,5.118724148,2358.776091,127.7899873,0.871995478,01-01-2025 00:00
3,6,514.4434656,645.799311,1582.754913,9.27364681,5.148218615,2398.524917,127.7341902,0.609580999,01-01-2025 00:00
3,7,514.3474957,637.2483975,1580.146617,9.402751356,5.258268959,2383.73476,127.7634439,0.814114233,01-01-2025 00:00
5,8,519.9153527,635.4057614,1587.745068,9.527518119,5.23023745,2393.125717,128.5402771,0.829088424,01-01-2025 00:00
4,9,526.9573129,637.788217,1586.234668,9.274067174,5.299359027,2358.168354,126.3819608,0.764331245,01-01-2025 00:00
2,10,521.222936,632.5407153,1604.156906,9.433533207,5.368110849,2388.417186,129.3588333,0.975162603,01-01-2025 00:00
4,11,523.2885553,642.5164484,1591.920855,9.060209595,5.378376989,2402.119541,129.4808079,0.606220132,01-01-2025 00:00
1,12,529.8774586,636.093556,1590.059784,9.38846727,4.984400119,2424.061582,131.0546582,0.720970465,01-01-2025 00:00
3,13,526.3340992,645.0865478,1591.408753,9.955057609,5.323046024,2377.153269,125.5830789,0.681653345,01-01-2025 00:00
4,14,519.2424727,640.9511713,1588.574951,9.356254606,5.448025701,2408.253758,128.5115995,0.730101567,01-01-2025 00:00
2,15,525.8325162,633.1398401,1597.336978,9.58896576,5.299794232,2403.513717,129.2948368,0.993955338,01-01-2025 00:00
5,16,520.0012613,640.5203002,1596.759952,9.096653981,5.103129758,2337.662329,132.2454506,0.802093256,01-01-2025 00:00
2,17,521.036024,637.3332911,1598.552249,9.196471331,5.343375234,2385.870125,131.6031146,0.761752344,01-01-2025 00:00
2,18,509.3972953,639.4436855,1593.17302,9.167245736,5.049821188,2363.3939,128.7383091,0.782659961,01-01-2025 00:00
3,19,519.1428653,639.1630768,1582.300191,9.210866181,5.164421994,2352.41569,129.0957052,0.977123795,01-01-2025 00:00
4,20,524.18077,646.8371025,1589.362883,9.63166162,4.979310903,2362.08234,126.5044907,0.898185856,01-01-2025 00:00
4,21,522.2820476,637.5668395,1594.887656,9.332620717,4.936722095,2390.067687,127.8726739,0.833445483,01-01-2025 00:00
3,22,517.2431558,639.9052476,1593.495857,10.11201722,5.127721935,2367.005223,130.0896745,0.855537695,01-01-2025 00:00
5,23,519.2414824,650.1389428,1585.736861,9.299900435,5.163371851,2414.70506,133.8852344,0.66499829,01-01-2025 00:00
4,24,525.932241,642.3608291,1578.541865,9.589049642,5.005633429,2379.011032,125.2202724,0.996589975,01-01-2025 00:00
4,25,517.2267883,640.4993283,1591.840402,9.37724558,4.788443794,2393.882013,128.9010591,0.931713988,01-01-2025 00:00
2,26,512.3967717,645.675903,1580.718092,9.388236344,4.659786212,2376.997507,125.311346,0.979582884,01-01-2025 00:00
2,27,522.0232423,642.5493133,1596.239459,9.497878902,5.146277094,2410.474782,130.1349248,0.926556127,01-01-2025 00:00
4,28,520.5314949,644.2699396,1586.16356,9.180464563,4.783123088,2396.757922,126.8585704,0.927379241,01-01-2025 00:00
5,29,525.5030064,641.7598829,1597.064549,9.444766236,4.956824668,2380.677021,129.0665623,0.966146532,01-01-2025 00:00
5,30,527.5932428,637.5491293,1590.835827,9.518622392,4.999212614,2391.537946,130.6767421,0.808587752,01-01-2025 00:00
5,31,521.9812703,634.3659082,1589.931933,8.962593626,5.347625828,2383.480396,130.1286543,0.637051454,01-01-2025 00:00
3,32,515.5143897,643.4728918,1593.49413,9.31329261,5.08819054,2390.91638,129.7112388,0.6913176,01-01-2025 00:00
1,33,509.5492592,638.857477,1597.465227,9.664422699,5.018621367,2376.969981,127.2577223,0.712662134,01-01-2025 00:00
2,34,519.3647085,638.0915091,1581.129342,9.343827123,5.251661796,2382.67499,130.3269248,0.99547188,01-01-2025 00:00
2,35,522.814749,644.4909321,1592.51684,9.250979073,4.967053886,2380.625849,129.6830764,0.749939583,01-01-2025 00:00
2,36,511.4965978,636.4426726,1592.303672,9.534097347,5.44565362,2416.114843,128.863523,0.837949391,01-01-2025 00:00
2,37,526.934264,640.9844295,1595.225921,9.3284208,5.360193322,2395.737384,126.7352864,0.946370487,01-01-2025 00:00
1,38,519.2023683,637.336408,1604.831026,9.251348735,5.378734029,2374.02793,127.270612,0.939764002,01-01-2025 00:00
3,39,519.2400787,638.9351573,1587.90309,9.327155585,5.159570587,2380.340439,130.5448735,0.617555765,01-01-2025 00:00
4,40,524.3421171,636.8538342,1587.319156,9.292549081,5.18993071,2403.591212,131.5554644,0.650363878,01-01-2025 00:00
3,41,521.1310519,644.3478813,1595.343688,9.081868168,5.502892426,2381.097099,130.5895898,0.743625172,01-01-2025 00:00
5,42,518.8966668,641.8023197,1595.570011,9.229362739,4.995692975,2384.347294,127.5842418,0.825324597,01-01-2025 00:00
3,43,516.3910226,640.9729101,1587.701166,9.842914307,4.989984344,2380.366908,129.435081,0.652366896,01-01-2025 00:00
1,44,515.2870212,633.1187166,1602.303489,9.844816338,5.649239025,2397.497643,129.2161089,0.716475817,01-01-2025 00:00
4,45,514.8101184,643.4708105,1591.24915,9.829638419,5.133237092,2363.396914,128.9026946,0.680602094,01-01-2025 00:00
4,46,521.0616581,645.5100777,1587.873136,9.201853555,4.942155168,2403.8761,126.8996713,0.746087884,01-01-2025 00:00
3,47,515.1683692,640.3396519,1591.081317,9.818488436,4.888676923,2375.28964,129.1916579,0.704443639,01-01-2025 00:00
3,48,522.0232628,635.1948554,1594.551344,9.445976678,5.039600934,2366.287896,128.7071431,0.659839864,01-01-2025 00:00
3,49,529.5607245,631.7629591,1593.103791,9.488006269,5.403221818,2354.762592,130.9232982,0.907189964,01-01-2025 00:00
1,50,523.6139069,634.7676236,1591.346593,9.799217363,5.559630548,2376.285209,125.5301893,0.957662596,01-01-2025 00:00
4,51,524.0025829,642.1401888,1594.705996,9.397000422,5.16796706,2405.426245,129.8883488,0.948321595,01-01-2025 00:00
3,52,522.6707787,641.0579902,1579.162955,8.880072926,5.262231805,2382.936552,128.2956132,0.993262695,01-01-2025 00:00
1,53,521.2521854,643.9614295,1595.615512,9.399185335,5.159116123,2356.267016,126.7971063,0.8016675,01-01-2025 00:00
3,54,522.890694,636.9823072,1590.338337,9.626511798,5.132185696,2361.156509,127.8448993,0.792128976,01-01-2025 00:00
1,55,527.6098224,640.9921667,1587.140027,9.621799662,5.005642047,2388.49157,133.0801208,0.669301157,01-01-2025 00:00
4,56,522.5394483,640.0282129,1603.406069,9.327561219,5.224460827,2387.444237,126.3057117,0.87333792,01-01-2025 00:00
1,57,511.9403759,635.6745402,1587.82315,9.506518325,5.004681628,2377.695101,126.7383698,0.68391778,01-01-2025 00:00
4,58,518.594338,642.7622354,1592.821807,9.437976392,4.917547785,2384.275786,131.362521,0.800268126,01-01-2025 00:00
3,59,517.1363416,641.8266868,1582.850171,9.040230104,5.097867174,2369.319452,127.5859869,0.918134786,01-01-2025 00:00
1,60,508.6226374,643.6924745,1582.684114,9.249220045,5.079070413,2413.186078,130.1013595,0.696413209,01-01-2025 00:00
3,61,525.7132795,639.3564111,1600.511679,9.656174517,5.38866577,2392.870523,129.0161671,0.669410068,01-01-2025 00:01
4,62,509.4651504,644.01103,1589.43647,9.430074395,5.116631628,2410.584173,129.7127748,0.99004079,01-01-2025 00:01
2,63,528.1406056,641.5833346,1591.59082,9.398754116,5.017844639,2417.306673,127.245667,0.76778004,01-01-2025 00:01
3,64,528.4514272,635.8742991,1589.642982,9.786733107,5.107582825,2390.987442,125.9390673,0.719388424,01-01-2025 00:01
2,65,521.3793481,647.1725409,1592.002648,9.748153295,5.303943781,2367.419855,130.2704091,0.873787106,01-01-2025 00:01
2,66,517.1669823,639.669965,1591.022007,9.509409509,5.157508592,2365.727204,130.276584,0.845675211,01-01-2025 00:01
5,67,511.2369732,648.6617125,1587.051622,9.447013648,4.731895083,2382.04115,131.2873644,0.735226031,01-01-2025 00:01
5,68,523.277872,633.9982871,1591.791823,9.607669332,4.683185538,2384.544023,128.3307453,0.676292638,01-01-2025 00:01
3,69,529.0605699,639.6299186,1585.185309,8.828557518,5.069418329,2349.377104,125.7882426,0.88520432,01-01-2025 00:01
3,70,518.1889614,641.3522253,1597.260131,9.712425923,5.116033306,2380.489207,131.1621354,0.67122859,01-01-2025 00:01
3,71,526.653526,639.4794521,1586.752306,9.596084475,5.066046294,2392.509919,127.1186695,0.911522523,01-01-2025 00:01
1,72,521.745655,636.4976082,1594.231322,9.490910011,5.156754185,2419.840517,129.6794637,0.912393862,01-01-2025 00:01
