timestamp,tag,value
01-01-2025 00:00,Plant01.Kiln1.Press,56.00155451
01-01-2025 00:00,Plant01.Kiln1.Temp,326.4123461
01-01-2025 00:00,Plant02.Kiln2.Temp,695.516893
01-01-2025 00:00,Plant01.Kiln1.Press,260.7826558
01-01-2025 00:00,Plant01.Kiln1.Temp,162.4025239
01-01-2025 00:00,Plant03.Kiln3.Temp,68.09149263
01-01-2025 00:00,Plant02.Kiln2.Temp,962.562766
01-01-2025 00:00,Plant01.Kiln1.Press,424.8862284
01-01-2025 00:00,Plant03.Kiln3.Press,354.5675895
01-01-2025 00:00,Plant02.Kiln2.Press,515.323951
01-01-2025 00:00,Plant03.Kiln3.Temp,264.5955288
01-01-2025 00:00,Plant03.Kiln3.Press,1067.420599
01-01-2025 00:00,Plant02.Kiln2.Temp,986.6462429
01-01-2025 00:00,Plant02.Kiln2.Temp,359.4844399
01-01-2025 00:00,Plant03.Kiln3.Press,503.1696906
01-01-2025 00:00,Plant03.Kiln3.Press,891.9564168
01-01-2025 00:00,Plant01.Kiln1.Press,105.924912
01-01-2025 00:00,Plant03.Kiln3.Temp,560.9581544
01-01-2025 00:00,Plant01.Kiln1.Temp,76.05082681
01-01-2025 00:00,Plant02.Kiln2.Temp,1069.364463
01-01-2025 00:00,Plant01.Kiln1.Temp,481.6963942
01-01-2025 00:00,Plant01.Kiln1.Press,1069.519876
01-01-2025 00:00,Plant01.Kiln1.Press,1102.0946
01-01-2025 00:00,Plant01.Kiln1.Temp,242.3701086
01-01-2025 00:00,Plant02.Kiln2.Temp,436.6893809
01-01-2025 00:00,Plant01.Kiln1.Temp,367.6706622
01-01-2025 00:00,Plant01.Kiln1.Press,1076.357657
01-01-2025 00:00,Plant01.Kiln1.Press,614.5431663
01-01-2025 00:00,Plant02.Kiln2.Temp,1077.507424
01-01-2025 00:00,Plant03.Kiln3.Press,561.9191387
01-01-2025 00:00,Plant02.Kiln2.Temp,1111.155661
01-01-2025 00:00,Plant01.Kiln1.Temp,954.7904914
01-01-2025 00:00,Plant02.Kiln2.Press,425.8712571
