Cement,FlyAsh,Slag,Water,Superplasticizer,Age,Strength
513.7515840674821,101.14407573096558,102.90295386031,165.06549104277835,14.126745221564782,28,31.790041322590515
211.68364096836697,199.1798949462904,171.38459815959777,155.15102958087274,0.08173114044821572,7,58.846263349717745
163.65356596447268,64.96913031515932,36.52861032548358,151.273153340016,17.971227998395392,7,49.268182172496864
181.10316514376063,79.3459415924884,153.92990266872945,197.20334107497163,3.2473564279756073,28,61.48279397592903
467.89054564911015,95.94673590868726,9.246970781940894,146.18411564926186,7.298452196047962,28,50.22736597433571
532.7701587956205,77.18440525379029,116.70447543197612,169.43282310824472,2.517577278519443,7,10.59873650597191
195.88146620278692,82.41862734183032,132.80107288445546,164.0940676523025,1.818177313698226,7,33.580748156487104
394.29938663737295,68.68871986555307,110.80436110102296,167.55181301256286,10.60341200422081,14,32.16370273253065
279.56416187296594,119.03954853295131,235.26459395226368,197.98959583521304,14.88055407485776,7,20.765926395020468
359.44853011146745,70.53462811228106,120.58834334956775,177.8714921971963,12.586390967270464,28,45.95814919295656
173.01558811212053,93.67022807816103,87.73463966184025,190.94256649685119,2.698421299293392,14,33.16671867750904
411.6562337875865,173.62772733053316,82.3290800450456,141.9763853051274,8.268959599930856,28,11.884979006743572
487.3552077215846,152.79472923653256,82.30378681433217,210.9577545200492,0.17576705363594236,7,60.921390229829036
421.1256473588911,58.55378964616258,143.90952973242096,229.05056330063468,7.193751056762845,7,17.29408030631562
421.595837724785,111.28555638791127,6.202368927064105,193.09529557543772,10.169181673333636,28,52.69186660343513
263.5728621044544,183.96696064506102,177.5707844734711,144.62009278694256,16.892533396765288,14,51.77708617857134
182.67649554730195,49.64047142831387,235.28152608404852,193.02556537250518,12.911480748683138,3,23.07924202917654
427.5167766446758,160.1493206019649,144.67858832618944,158.38499011166672,5.7525808515605785,3,27.19797268220506
191.75079599082324,50.96731134300234,246.40408999859136,186.42566640683822,10.04900377561941,7,60.06429493846517
179.61951019588608,143.03516865444652,140.21777420716018,194.13022398941058,7.866022669480753,3,19.373675958905537
308.110299095639,114.98711730430466,199.09156346852737,186.01465951671162,10.739421917255928,28,34.83004280927901
434.9591615312052,151.5994950915364,227.6993449583426,219.37636131258648,16.135177226259042,7,55.3976833752189
529.8414215458381,53.968397408774685,101.31604363629795,229.2713948294426,9.625310244717697,28,22.05502158787491
218.68267773190377,45.7388337286837,135.29661162338627,186.76484250887177,14.721506392051909,3,19.61307647839844
411.28181938815385,156.89666118569062,19.52954880672417,203.45999884673736,4.91207722251594,3,13.030063394834555
319.4906649141288,33.152563884290444,78.59688502860557,198.48174638890296,16.361394454518972,3,62.57646993441266
374.6224028386603,65.00250101102243,10.61810411309233,202.72882636946656,12.176650859750334,28,36.67939317493233
423.40989121352345,69.61930859609782,247.2945828232411,148.53514848695983,15.970566671261048,28,42.86105644338274
384.36179222596803,5.356857600716269,181.20070308102962,155.16851739916325,18.694290773046156,7,18.309629247757858
357.0559508661379,124.27468144824559,126.82228784790075,191.72826031070656,17.64739540502353,28,50.89320930820023
489.8060117551095,174.06546242481625,54.590326065759974,194.80042600255555,16.195517902169538,14,36.40428114548735
305.7343290878494,151.76453953366982,92.64138865412194,239.22614399419615,9.834736477825656,28,28.69316887701036
325.4875669543985,157.42963509276555,137.43064797178326,150.66132091296572,1.2470600351307626,14,10.71044897793426
429.6292800541373,62.80490382703947,52.5681468464746,191.38703752176065,13.222475102676675,28,16.248035255365817
448.12422700459126,83.30106717002911,145.8590692850108,225.8539273613087,11.39745501877714,14,38.994105004662735
219.40071120273285,36.44968216733795,205.68499751661557,225.21462777424796,15.766873986461022,3,33.81057919290376
173.18991541120755,185.714083678001,105.00787255867976,215.69632020486904,11.334216007451536,7,62.930052824464816
180.4260185481231,100.79544525328659,234.90767505974196,144.28763741846996,9.259461216698186,28,27.48197454584944
195.04691163791205,172.26650394155746,56.51184081658012,192.27726648597235,4.06335251045749,28,56.23112793658463
503.46461956325794,136.35889454268892,78.58482298659352,220.68869659115984,1.1625615675332934,3,39.02547266403323
337.81226736228643,6.910356802440365,191.3625710121169,155.20310825245787,4.761025675928014,3,22.698277823771942
514.5852724133404,33.292933708769624,36.245209277902426,188.24292791470975,5.681103469903963,28,31.010924838859726
438.8758391493637,173.17989073736166,107.15248653301256,215.181394623785,4.764533079291531,28,42.7753091783054
329.81693796091855,192.25839937113682,29.305952891144322,141.46085025613036,4.369586731311363,3,67.11764962057185
170.73827324151858,75.07559791314426,201.96983840499556,208.61995835819224,0.1401909610306462,3,31.836512577179413
278.31575346516854,95.61951481327114,94.5003850667948,228.34462048683235,18.773968737143207,7,49.105859151838146
460.37811944139054,187.51106310739718,27.15685525192635,188.3155646451651,16.191659066826894,14,32.655732145460505
174.80290026274528,118.78374529012159,31.09756596780447,191.6181479876427,18.313861762856845,3,11.451873418868557
537.8931297047909,156.48533168486227,29.918262638720634,208.92008512262584,4.432352583246562,28,10.328323402275057
541.1669483333551,67.54082855752519,80.32378138928564,171.9251584987956,15.855667639824535,7,42.336945742055455
435.95379620415844,7.243714529515133,86.4126838400532,145.84222697829046,11.867395977043937,28,52.24420855322941
322.8372906979072,152.22620175683912,87.3584266703202,162.09753100327478,10.502166736954177,14,14.9613250741234
284.32251125428076,79.45941460940284,207.5499256837417,142.29956222692917,3.86307771152687,14,16.766172089292972
300.03426461422544,115.41207374051412,130.15723167025521,231.29025114200752,0.5209732266687084,7,51.04845615390178
183.48922563204263,110.33807848976738,162.0916098706533,178.05325287849084,11.0217465987134,28,34.80154705159813
334.09534924843206,77.09342993287459,187.7021139965152,187.27710704329533,10.55156609070108,14,48.45825070497081
417.6214103506866,37.81848979877282,241.5574534615092,239.40110417309467,18.51060181912952,28,42.02375640811727
159.86291703853195,113.20880092107484,105.78761245340978,223.7100159216294,3.585622782296569,3,14.98475267789961
153.71835084875286,112.48531201085552,140.54626003649693,152.75473590503,10.189506962783314,14,56.32792622142242
343.50131879385424,19.744132855706773,163.28148011481582,221.33885963105365,2.636401003508344,3,40.91326904507633
221.28793295903284,16.188361771889937,199.75910325674883,225.77907707629706,10.610513149900756,28,14.429143280412633
500.482621418615,145.92138165120014,151.36808865647942,208.42512454412955,2.5171228777812282,14,45.69301946144029
